Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCF_024169065.1	ASM2416906v1	Pseudomonas fluorescens		NCTC 9428					PRJNA712063	SAMN18251342
GCA_900455465.1	44858_F01	Pseudomonas fluorescens		NCTC10392					PRJEB6403	SAMEA3881055
GCF_900455465.1	44858_F01	Pseudomonas fluorescens		NCTC10392					PRJEB6403	SAMEA3881055
GCA_031453935.1	ASM3145393v1	Pseudomonas fluorescens		SORGH_AS_0191					PRJNA957369	SAMN34252196
GCF_031453935.1	ASM3145393v1	Pseudomonas fluorescens		SORGH_AS_0191					PRJNA957369	SAMN34252196
GCA_001625455.1	ASM162545v1	Pseudomonas fluorescens		FW300-N1B4					PRJNA315014	SAMN04547022
GCF_001625455.1	ASM162545v1	Pseudomonas fluorescens		FW300-N1B4					PRJNA315014	SAMN04547022
GCA_001440325.1	ASM144032v1	Pseudomonas fluorescens		GW456-L13					PRJNA295937	SAMN04094109
GCF_001440325.1	ASM144032v1	Pseudomonas fluorescens		GW456-L13					PRJNA295937	SAMN04094109
GCA_011440265.1	ASM1144026v1	Pseudomonas fluorescens		DSM 11579					PRJNA609447	SAMN14253692
GCF_011440265.1	ASM1144026v1	Pseudomonas fluorescens		DSM 11579					PRJNA609447	SAMN14253692
GCA_022758205.1	ASM2275820v1	Pseudomonas fluorescens		AVRO2					PRJNA818659	SAMN26870620
GCF_022758205.1	ASM2275820v1	Pseudomonas fluorescens		AVRO2					PRJNA818659	SAMN26870620
GCA_902498125.1	PS847	Pseudomonas fluorescens					PS847		PRJEB34261	SAMEA5944716
GCF_902498125.1	PS847	Pseudomonas fluorescens					PS847		PRJEB34261	SAMEA5944716
GCA_003732425.1	ASM373242v1	Pseudomonas fluorescens		28B5					PRJNA342848	SAMN05933943
GCF_003732425.1	ASM373242v1	Pseudomonas fluorescens		28B5					PRJNA342848	SAMN05933943
GCA_902498115.1	PS876	Pseudomonas fluorescens					PS876		PRJEB34261	SAMEA5944725
GCF_902498115.1	PS876	Pseudomonas fluorescens					PS876		PRJEB34261	SAMEA5944725
GCA_902498195.1	PS918	Pseudomonas fluorescens					PS918		PRJEB34261	SAMEA5944737
GCF_902498195.1	PS918	Pseudomonas fluorescens					PS918		PRJEB34261	SAMEA5944737
GCA_902498095.1	PS893	Pseudomonas fluorescens					PS893		PRJEB34261	SAMEA5944728
GCF_902498095.1	PS893	Pseudomonas fluorescens					PS893		PRJEB34261	SAMEA5944728
GCA_902498155.1	PS922	Pseudomonas fluorescens					PS922		PRJEB34261	SAMEA5944738
GCF_902498155.1	PS922	Pseudomonas fluorescens					PS922		PRJEB34261	SAMEA5944738
GCA_902498065.1	PS858	Pseudomonas fluorescens					PS858		PRJEB34261	SAMEA5944719
GCF_902498065.1	PS858	Pseudomonas fluorescens					PS858		PRJEB34261	SAMEA5944719
GCA_014842555.1	ASM1484255v1	Pseudomonas fluorescens		CFBP13702					PRJNA665156	SAMN16237046
GCF_014842555.1	ASM1484255v1	Pseudomonas fluorescens		CFBP13702					PRJNA665156	SAMN16237046
GCA_030811415.1	ASM3081141v1	Pseudomonas fluorescens		1550					PRJNA709217	SAMN18244812
GCF_030811415.1	ASM3081141v1	Pseudomonas fluorescens		1550					PRJNA709217	SAMN18244812
GCA_902498085.1	PS896	Pseudomonas fluorescens					PS896		PRJEB34261	SAMEA5944729
GCF_902498085.1	PS896	Pseudomonas fluorescens					PS896		PRJEB34261	SAMEA5944729
GCA_019898675.1	ASM1989867v1	Pseudomonas fluorescens		51485_Pf0-1_Pf0-2x_glnA-C5A					PRJNA759590	SAMN21170643
GCF_019898675.1	ASM1989867v1	Pseudomonas fluorescens		51485_Pf0-1_Pf0-2x_glnA-C5A					PRJNA759590	SAMN21170643
GCA_016652795.1	ASM1665279v1	Pseudomonas fluorescens		N7					PRJNA627728	SAMN16830036
GCF_016652795.1	ASM1665279v1	Pseudomonas fluorescens		N7					PRJNA627728	SAMN16830036
GCA_902498165.1	PS906	Pseudomonas fluorescens					PS906		PRJEB34261	SAMEA5944733
GCF_902498165.1	PS906	Pseudomonas fluorescens					PS906		PRJEB34261	SAMEA5944733
GCA_014842345.1	ASM1484234v1	Pseudomonas fluorescens		CFBP13703					PRJNA665156	SAMN16237069
GCF_014842345.1	ASM1484234v1	Pseudomonas fluorescens		CFBP13703					PRJNA665156	SAMN16237069
GCA_003258955.1	ASM325895v1	Pseudomonas fluorescens		HPB					PRJNA475250	SAMN09382823
GCF_003258955.1	ASM325895v1	Pseudomonas fluorescens		HPB					PRJNA475250	SAMN09382823
GCA_902498275.1	PS947	Pseudomonas fluorescens					PS947		PRJEB34261	SAMEA5944745
GCF_902498275.1	PS947	Pseudomonas fluorescens					PS947		PRJEB34261	SAMEA5944745
GCA_016767275.1	ASM1676727v1	Pseudomonas fluorescens		X					PRJNA681336	SAMN16949415
GCF_016767275.1	ASM1676727v1	Pseudomonas fluorescens		X					PRJNA681336	SAMN16949415
GCA_003732755.1	ASM373275v1	Pseudomonas fluorescens		2F9					PRJNA342848	SAMN05933945
GCF_003732755.1	ASM373275v1	Pseudomonas fluorescens		2F9					PRJNA342848	SAMN05933945
GCA_902498215.1	PS941	Pseudomonas fluorescens					PS941		PRJEB34261	SAMEA5944743
GCF_902498215.1	PS941	Pseudomonas fluorescens					PS941		PRJEB34261	SAMEA5944743
GCA_902498005.1	PS898	Pseudomonas fluorescens					PS898		PRJEB34261	SAMEA5944730
GCF_902498005.1	PS898	Pseudomonas fluorescens					PS898		PRJEB34261	SAMEA5944730
GCA_019898705.1	ASM1989870v1	Pseudomonas fluorescens		51486_Pf0-1_Pf0-2x_glnA-G1249C					PRJNA759593	SAMN21170798
GCF_019898705.1	ASM1989870v1	Pseudomonas fluorescens		51486_Pf0-1_Pf0-2x_glnA-G1249C					PRJNA759593	SAMN21170798
GCA_003732345.1	ASM373234v1	Pseudomonas fluorescens		36F3					PRJNA342848	SAMN05933941
GCF_003732345.1	ASM373234v1	Pseudomonas fluorescens		36F3					PRJNA342848	SAMN05933941
GCA_014839025.1	ASM1483902v1	Pseudomonas fluorescens		CFBP8787					PRJNA665156	SAMN16237931
GCF_014839025.1	ASM1483902v1	Pseudomonas fluorescens		CFBP8787					PRJNA665156	SAMN16237931
GCA_902498265.1	PS943	Pseudomonas fluorescens					PS943		PRJEB34261	SAMEA5944744
GCF_902498265.1	PS943	Pseudomonas fluorescens					PS943		PRJEB34261	SAMEA5944744
GCA_963970535.1	EL_5y_Pfl2_P72	Pseudomonas fluorescens					PseudoSSchier:P72		PRJEB57340	SAMEA114413522
GCF_963970535.1	EL_5y_Pfl2_P72	Pseudomonas fluorescens					PseudoSSchier:P72		PRJEB57340	SAMEA114413522
GCA_001902145.1	ASM190214v1	Pseudomonas fluorescens		EK007-RG4					PRJNA347476	SAMN05967209
GCF_001902145.1	ASM190214v1	Pseudomonas fluorescens		EK007-RG4					PRJNA347476	SAMN05967209
GCA_902497975.1	PS854	Pseudomonas fluorescens					PS854		PRJEB34261	SAMEA5944718
GCF_902497975.1	PS854	Pseudomonas fluorescens					PS854		PRJEB34261	SAMEA5944718
GCA_034808765.1	ASM3480876v1	Pseudomonas fluorescens		FSL M9-0550					PRJNA1003870	SAMN37350772
GCF_034808765.1	ASM3480876v1	Pseudomonas fluorescens		FSL M9-0550					PRJNA1003870	SAMN37350772
GCA_018614755.1	ASM1861475v1	Pseudomonas fluorescens		ISL-31					PRJNA291433	SAMN18298947
GCF_018614755.1	ASM1861475v1	Pseudomonas fluorescens		ISL-31					PRJNA291433	SAMN18298947
GCA_902498225.1	PS934	Pseudomonas fluorescens					PS934		PRJEB34261	SAMEA5944741
GCF_902498225.1	PS934	Pseudomonas fluorescens					PS934		PRJEB34261	SAMEA5944741
GCA_034808585.1	ASM3480858v1	Pseudomonas fluorescens		FSL S12-0195					PRJNA1003870	SAMN37350773
GCF_034808585.1	ASM3480858v1	Pseudomonas fluorescens		FSL S12-0195					PRJNA1003870	SAMN37350773
GCA_014842335.1	ASM1484233v1	Pseudomonas fluorescens		CFBP13701					PRJNA665156	SAMN16237071
GCF_014842335.1	ASM1484233v1	Pseudomonas fluorescens		CFBP13701					PRJNA665156	SAMN16237071
GCA_018614925.1	ASM1861492v1	Pseudomonas fluorescens		ISL-19					PRJNA291433	SAMN18298942
GCF_018614925.1	ASM1861492v1	Pseudomonas fluorescens		ISL-19					PRJNA291433	SAMN18298942
GCA_018614635.1	ASM1861463v1	Pseudomonas fluorescens		ISL-76					PRJNA291433	SAMN18298950
GCF_018614635.1	ASM1861463v1	Pseudomonas fluorescens		ISL-76					PRJNA291433	SAMN18298950
GCA_018614885.1	ASM1861488v1	Pseudomonas fluorescens		ISL-15					PRJNA291433	SAMN18298940
GCF_018614885.1	ASM1861488v1	Pseudomonas fluorescens		ISL-15					PRJNA291433	SAMN18298940
GCA_014842405.1	ASM1484240v1	Pseudomonas fluorescens		CFBP8781					PRJNA665156	SAMN16237067
GCF_014842405.1	ASM1484240v1	Pseudomonas fluorescens		CFBP8781					PRJNA665156	SAMN16237067
GCA_014838845.1	ASM1483884v1	Pseudomonas fluorescens		CFBP8793					PRJNA665156	SAMN16238286
GCF_014838845.1	ASM1483884v1	Pseudomonas fluorescens		CFBP8793					PRJNA665156	SAMN16238286
GCA_014842515.1	ASM1484251v1	Pseudomonas fluorescens		CFBP8778					PRJNA665156	SAMN16237054
GCF_014842515.1	ASM1484251v1	Pseudomonas fluorescens		CFBP8778					PRJNA665156	SAMN16237054
GCA_012986955.1	ASM1298695v1	Pseudomonas fluorescens		WS 5037					PRJNA612806	SAMN14381912
GCF_012986955.1	ASM1298695v1	Pseudomonas fluorescens		WS 5037					PRJNA612806	SAMN14381912
GCA_019898745.1	ASM1989874v1	Pseudomonas fluorescens		29639_Pf0-1_Pf0-2x_ntrB-A46C					PRJNA759585	SAMN21170521
GCF_019898745.1	ASM1989874v1	Pseudomonas fluorescens		29639_Pf0-1_Pf0-2x_ntrB-A46C					PRJNA759585	SAMN21170521
GCA_019898805.1	ASM1989880v1	Pseudomonas fluorescens		29636_Pf0-1_Pf0-2x_glnA-A938CG943A					PRJNA759583	SAMN21170359
GCF_019898805.1	ASM1989880v1	Pseudomonas fluorescens		29636_Pf0-1_Pf0-2x_glnA-A938CG943A					PRJNA759583	SAMN21170359
GCA_902498045.1	PS843	Pseudomonas fluorescens					PS843		PRJEB34261	SAMEA5944715
GCF_902498045.1	PS843	Pseudomonas fluorescens					PS843		PRJEB34261	SAMEA5944715
GCA_014842485.1	ASM1484248v1	Pseudomonas fluorescens		CFBP8780					PRJNA665156	SAMN16237064
GCF_014842485.1	ASM1484248v1	Pseudomonas fluorescens		CFBP8780					PRJNA665156	SAMN16237064
GCA_019898665.1	ASM1989866v1	Pseudomonas fluorescens		51484_Pf0-1_Pf0-2x_glnA-T1078G					PRJNA759589	SAMN21170612
GCF_019898665.1	ASM1989866v1	Pseudomonas fluorescens		51484_Pf0-1_Pf0-2x_glnA-T1078G					PRJNA759589	SAMN21170612
GCA_019898725.1	ASM1989872v1	Pseudomonas fluorescens		51487_Pf0-1_Pf0-2x_glnA-T1078C					PRJNA759594	SAMN21170815
GCF_019898725.1	ASM1989872v1	Pseudomonas fluorescens		51487_Pf0-1_Pf0-2x_glnA-T1078C					PRJNA759594	SAMN21170815
GCA_001020865.1	ASM102086v1	Pseudomonas fluorescens		AU5633					PRJNA283459	SAMN03650328
GCF_001020865.1	ASM102086v1	Pseudomonas fluorescens		AU5633					PRJNA283459	SAMN03650328
GCA_014842575.1	ASM1484257v1	Pseudomonas fluorescens		CFBP13700					PRJNA665156	SAMN16237051
GCF_014842575.1	ASM1484257v1	Pseudomonas fluorescens		CFBP13700					PRJNA665156	SAMN16237051
GCA_902498205.1	PS914	Pseudomonas fluorescens					PS914		PRJEB34261	SAMEA5944736
GCF_902498205.1	PS914	Pseudomonas fluorescens					PS914		PRJEB34261	SAMEA5944736
GCA_911283405.1	PS861_2021	Pseudomonas fluorescens					PS861		PRJEB34261	SAMEA5944720
GCF_911283405.1	PS861_2021	Pseudomonas fluorescens					PS861		PRJEB34261	SAMEA5944720
GCA_034427545.1	ASM3442754v1	Pseudomonas fluorescens		N-64					PRJNA1048667	SAMN38656434
GCF_034427545.1	ASM3442754v1	Pseudomonas fluorescens		N-64					PRJNA1048667	SAMN38656434
GCA_902498235.1	PS925	Pseudomonas fluorescens					PS925		PRJEB34261	SAMEA5944739
GCF_902498235.1	PS925	Pseudomonas fluorescens					PS925		PRJEB34261	SAMEA5944739
GCA_902498145.1	PS865	Pseudomonas fluorescens					PS865		PRJEB34261	SAMEA5944722
GCF_902498145.1	PS865	Pseudomonas fluorescens					PS865		PRJEB34261	SAMEA5944722
GCA_014838965.1	ASM1483896v1	Pseudomonas fluorescens		CFBP8788					PRJNA665156	SAMN16237973
GCF_014838965.1	ASM1483896v1	Pseudomonas fluorescens		CFBP8788					PRJNA665156	SAMN16237973
GCA_014842605.1	ASM1484260v1	Pseudomonas fluorescens		CFBP8776					PRJNA665156	SAMN16237045
GCF_014842605.1	ASM1484260v1	Pseudomonas fluorescens		CFBP8776					PRJNA665156	SAMN16237045
GCA_003732745.1	ASM373274v1	Pseudomonas fluorescens		24D3					PRJNA342848	SAMN05933944
GCF_003732745.1	ASM373274v1	Pseudomonas fluorescens		24D3					PRJNA342848	SAMN05933944
GCA_014838915.1	ASM1483891v1	Pseudomonas fluorescens		CFBP8789					PRJNA665156	SAMN16238009
GCF_014838915.1	ASM1483891v1	Pseudomonas fluorescens		CFBP8789					PRJNA665156	SAMN16238009
GCA_014842475.1	ASM1484247v1	Pseudomonas fluorescens		CFBP13611					PRJNA665156	SAMN16237055
GCF_014842475.1	ASM1484247v1	Pseudomonas fluorescens		CFBP13611					PRJNA665156	SAMN16237055
GCA_018614835.1	ASM1861483v1	Pseudomonas fluorescens		ISL-17					PRJNA291433	SAMN18298941
GCF_018614835.1	ASM1861483v1	Pseudomonas fluorescens		ISL-17					PRJNA291433	SAMN18298941
GCA_902497855.1	PS833	Pseudomonas fluorescens					PS833		PRJEB34261	SAMEA5944712
GCF_902497855.1	PS833	Pseudomonas fluorescens					PS833		PRJEB34261	SAMEA5944712
GCA_030372785.1	ASM3037278v1	Pseudomonas fluorescens		AB-S30					PRJNA985154	SAMN35790948
GCF_030372785.1	ASM3037278v1	Pseudomonas fluorescens		AB-S30					PRJNA985154	SAMN35790948
GCA_000817905.1	ASM81790v1	Pseudomonas fluorescens		SF4c					PRJNA264639	SAMN03140176
GCF_000817905.1	ASM81790v1	Pseudomonas fluorescens		SF4c					PRJNA264639	SAMN03140176
GCA_014839035.1	ASM1483903v1	Pseudomonas fluorescens		CFBP13649					PRJNA665156	SAMN16237913
GCF_014839035.1	ASM1483903v1	Pseudomonas fluorescens		CFBP13649					PRJNA665156	SAMN16237913
GCA_001468775.2	ASM146877v2	Pseudomonas fluorescens		et76					PRJNA301338	SAMN04244127
GCF_001468775.2	ASM146877v2	Pseudomonas fluorescens		et76					PRJNA301338	SAMN04244127
GCA_003258965.1	ASM325896v1	Pseudomonas fluorescens		LY3					PRJNA475250	SAMN09382806
GCF_003258965.1	ASM325896v1	Pseudomonas fluorescens		LY3					PRJNA475250	SAMN09382806
GCA_014839225.1	ASM1483922v1	Pseudomonas fluorescens		CFBP13533					PRJNA665156	SAMN16237857
GCF_014839225.1	ASM1483922v1	Pseudomonas fluorescens		CFBP13533					PRJNA665156	SAMN16237857
GCA_902498135.1	PS900	Pseudomonas fluorescens					PS900		PRJEB34261	SAMEA5944731
GCF_902498135.1	PS900	Pseudomonas fluorescens					PS900		PRJEB34261	SAMEA5944731
GCA_003363095.1	ASM336309v1	Pseudomonas fluorescens		AHK-1					PRJNA473300	SAMN09270600
GCF_003363095.1	ASM336309v1	Pseudomonas fluorescens		AHK-1					PRJNA473300	SAMN09270600
GCA_001020875.1	ASM102087v1	Pseudomonas fluorescens		AU11114					PRJNA283460	SAMN03650329
GCF_001020875.1	ASM102087v1	Pseudomonas fluorescens		AU11114					PRJNA283460	SAMN03650329
GCA_014838805.1	ASM1483880v1	Pseudomonas fluorescens		CFBP8796					PRJNA665156	SAMN16238321
GCF_014838805.1	ASM1483880v1	Pseudomonas fluorescens		CFBP8796					PRJNA665156	SAMN16238321
GCA_000834545.1	ASM83454v1	Pseudomonas fluorescens		MEP34					PRJNA270653	SAMN03267960
GCF_000834545.1	ASM83454v1	Pseudomonas fluorescens		MEP34					PRJNA270653	SAMN03267960
GCA_004614275.1	ASM461427v1	Pseudomonas fluorescens		BRZ63					PRJNA529642	SAMN11280435
GCF_004614275.1	ASM461427v1	Pseudomonas fluorescens		BRZ63					PRJNA529642	SAMN11280435
GCA_001648775.1	ASM164877v1	Pseudomonas fluorescens		HKI0770					PRJNA315402	SAMN04558174
GCF_001648775.1	ASM164877v1	Pseudomonas fluorescens		HKI0770					PRJNA315402	SAMN04558174
GCA_902497785.1	PS662	Pseudomonas fluorescens					PS662		PRJEB34261	SAMEA5944689
GCF_902497785.1	PS662	Pseudomonas fluorescens					PS662		PRJEB34261	SAMEA5944689
GCA_000817895.1	ASM81789v1	Pseudomonas fluorescens		SF39a					PRJNA264639	SAMN03140177
GCF_000817895.1	ASM81789v1	Pseudomonas fluorescens		SF39a					PRJNA264639	SAMN03140177
GCA_018476695.1	ASM1847669v1	Pseudomonas fluorescens		BC10					PRJNA729209	SAMN19113980
GCF_018476695.1	ASM1847669v1	Pseudomonas fluorescens		BC10					PRJNA729209	SAMN19113980
GCA_902498035.1	PS870	Pseudomonas fluorescens					PS870		PRJEB34261	SAMEA5944723
GCF_902498035.1	PS870	Pseudomonas fluorescens					PS870		PRJEB34261	SAMEA5944723
GCA_003001555.1	ASM300155v1	Pseudomonas fluorescens		11293					PRJNA436461	SAMN08625927
GCF_003001555.1	ASM300155v1	Pseudomonas fluorescens		11293					PRJNA436461	SAMN08625927
GCA_003732405.1	ASM373240v1	Pseudomonas fluorescens		36G2					PRJNA342848	SAMN05933946
GCF_003732405.1	ASM373240v1	Pseudomonas fluorescens		36G2					PRJNA342848	SAMN05933946
GCA_006494335.1	ASM649433v1	Pseudomonas fluorescens		CPM15					PRJNA357271	SAMN12096817
GCF_006494335.1	ASM649433v1	Pseudomonas fluorescens		CPM15					PRJNA357271	SAMN12096817
GCA_014436655.1	ASM1443665v1	Pseudomonas fluorescens		MFP05					PRJNA649214	SAMN15660213
GCF_014436655.1	ASM1443665v1	Pseudomonas fluorescens		MFP05					PRJNA649214	SAMN15660213
GCA_000967945.1	ASM96794v1	Pseudomonas fluorescens		C1					PRJNA276800	SAMN03381134
GCF_000967945.1	ASM96794v1	Pseudomonas fluorescens		C1					PRJNA276800	SAMN03381134
GCA_002022325.1	ASM202232v1	Pseudomonas fluorescens		E24					PRJNA339171	SAMN05589721
GCF_002022325.1	ASM202232v1	Pseudomonas fluorescens		E24					PRJNA339171	SAMN05589721
GCA_902497885.1	PS704	Pseudomonas fluorescens					PS704		PRJEB34261	SAMEA5944702
GCF_902497885.1	PS704	Pseudomonas fluorescens					PS704		PRJEB34261	SAMEA5944702
GCA_902498255.1	PS938	Pseudomonas fluorescens					PS938		PRJEB34261	SAMEA5944742
GCF_902498255.1	PS938	Pseudomonas fluorescens					PS938		PRJEB34261	SAMEA5944742
GCA_903797685.1	B443	Pseudomonas fluorescens					9		PRJEB38476	SAMEA6854751
GCF_903797685.1	B443	Pseudomonas fluorescens					9		PRJEB38476	SAMEA6854751
GCA_018614655.1	ASM1861465v1	Pseudomonas fluorescens		ISL-62					PRJNA291433	SAMN18298949
GCF_018614655.1	ASM1861465v1	Pseudomonas fluorescens		ISL-62					PRJNA291433	SAMN18298949
GCA_902498245.1	PS928	Pseudomonas fluorescens					PS928		PRJEB34261	SAMEA5944740
GCF_902498245.1	PS928	Pseudomonas fluorescens					PS928		PRJEB34261	SAMEA5944740
GCA_902497985.1	PS732	Pseudomonas fluorescens					PS732		PRJEB34261	SAMEA5944711
GCF_902497985.1	PS732	Pseudomonas fluorescens					PS732		PRJEB34261	SAMEA5944711
GCA_044902185.1	ASM4490218v1	Pseudomonas fluorescens		BRM 65466					PRJNA1005924	SAMN37000955
GCF_044902185.1	ASM4490218v1	Pseudomonas fluorescens		BRM 65466					PRJNA1005924	SAMN37000955
GCA_911283435.1	PS627_2021	Pseudomonas fluorescens					PS627		PRJEB34261	SAMEA5944680
GCF_911283435.1	PS627_2021	Pseudomonas fluorescens					PS627		PRJEB34261	SAMEA5944680
GCA_902497745.1	PS655	Pseudomonas fluorescens					PS655		PRJEB34261	SAMEA5944687
GCF_902497745.1	PS655	Pseudomonas fluorescens					PS655		PRJEB34261	SAMEA5944687
GCA_004346535.1	ASM434653v1	Pseudomonas fluorescens		FW300 25_6					PRJNA500191	SAMN10362899
GCF_004346535.1	ASM434653v1	Pseudomonas fluorescens		FW300 25_6					PRJNA500191	SAMN10362899
GCA_000952735.1	ASM95273v1	Pseudomonas fluorescens		NT0133					PRJNA275699	SAMN03352192
GCF_000952735.1	ASM95273v1	Pseudomonas fluorescens		NT0133					PRJNA275699	SAMN03352192
GCA_003001635.1	ASM300163v1	Pseudomonas fluorescens		74954					PRJNA436461	SAMN08625925
GCF_003001635.1	ASM300163v1	Pseudomonas fluorescens		74954					PRJNA436461	SAMN08625925
GCA_000801815.1	PfAU6308	Pseudomonas fluorescens		AU6308					PRJNA262940	SAMN03092886
GCF_000801815.1	PfAU6308	Pseudomonas fluorescens		AU6308					PRJNA262940	SAMN03092886
GCA_902498025.1	PS880	Pseudomonas fluorescens					PS880		PRJEB34261	SAMEA5944726
GCF_902498025.1	PS880	Pseudomonas fluorescens					PS880		PRJEB34261	SAMEA5944726
GCA_902497995.1	PS862	Pseudomonas fluorescens					PS862		PRJEB34261	SAMEA5944721
GCF_902497995.1	PS862	Pseudomonas fluorescens					PS862		PRJEB34261	SAMEA5944721
GCA_902497925.1	PS718	Pseudomonas fluorescens					PS718		PRJEB34261	SAMEA5944707
GCF_902497925.1	PS718	Pseudomonas fluorescens					PS718		PRJEB34261	SAMEA5944707
GCA_001020715.1	ASM102071v1	Pseudomonas fluorescens		AU11706					PRJNA283456	SAMN03650320
GCF_001020715.1	ASM102071v1	Pseudomonas fluorescens		AU11706					PRJNA283456	SAMN03650320
GCA_902497825.1	PS726	Pseudomonas fluorescens					PS726		PRJEB34261	SAMEA5944710
GCF_902497825.1	PS726	Pseudomonas fluorescens					PS726		PRJEB34261	SAMEA5944710
GCA_902497875.1	PS723	Pseudomonas fluorescens					PS723		PRJEB34261	SAMEA5944709
GCF_902497875.1	PS723	Pseudomonas fluorescens					PS723		PRJEB34261	SAMEA5944709
GCA_902497695.1	PS631	Pseudomonas fluorescens					PS631		PRJEB34261	SAMEA5944681
GCF_902497695.1	PS631	Pseudomonas fluorescens					PS631		PRJEB34261	SAMEA5944681
GCA_002901425.1	ASM290142v1	Pseudomonas fluorescens		BWKM6					PRJNA430146	SAMN08366868
GCF_002901425.1	ASM290142v1	Pseudomonas fluorescens		BWKM6					PRJNA430146	SAMN08366868
GCA_902497915.1	PS710	Pseudomonas fluorescens					PS710		PRJEB34261	SAMEA5944705
GCF_902497915.1	PS710	Pseudomonas fluorescens					PS710		PRJEB34261	SAMEA5944705
GCA_041521055.1	ASM4152105v1	Pseudomonas fluorescens		LZB 065					PRJNA1150624	SAMN43291984
GCF_041521055.1	ASM4152105v1	Pseudomonas fluorescens		LZB 065					PRJNA1150624	SAMN43291984
GCA_000801795.1	PfAU6026	Pseudomonas fluorescens		AU6026					PRJNA262933	SAMN03086632
GCF_000801795.1	PfAU6026	Pseudomonas fluorescens		AU6026					PRJNA262933	SAMN03086632
GCA_000802965.1	ASM80296v1	Pseudomonas fluorescens		C2					PRJNA264019	SAMN03112824
GCF_000802965.1	ASM80296v1	Pseudomonas fluorescens		C2					PRJNA264019	SAMN03112824
GCA_002216645.1	ASM221664v1	Pseudomonas fluorescens		TR3					PRJNA344671	SAMN05830384
GCF_002216645.1	ASM221664v1	Pseudomonas fluorescens		TR3					PRJNA344671	SAMN05830384
GCA_023127785.1	ASM2312778v1	Pseudomonas fluorescens		LMG 14677					PRJNA528384	SAMN11180785
GCF_023127785.1	ASM2312778v1	Pseudomonas fluorescens		LMG 14677					PRJNA528384	SAMN11180785
GCA_001317545.1	CBN_34	Pseudomonas fluorescens		S613					PRJNA294689	SAMN04028675
GCF_001317545.1	CBN_34	Pseudomonas fluorescens		S613					PRJNA294689	SAMN04028675
GCA_902497845.1	PS712	Pseudomonas fluorescens					PS712		PRJEB34261	SAMEA5944706
GCF_902497845.1	PS712	Pseudomonas fluorescens					PS712		PRJEB34261	SAMEA5944706
GCA_041354075.1	ASM4135407v1	Pseudomonas fluorescens		WCS317					PRJNA960651	SAMN34352529
GCF_041354075.1	ASM4135407v1	Pseudomonas fluorescens		WCS317					PRJNA960651	SAMN34352529
GCA_000802985.1	ASM80298v1	Pseudomonas fluorescens		H16					PRJNA264019	SAMN03112832
GCF_000802985.1	ASM80298v1	Pseudomonas fluorescens		H16					PRJNA264019	SAMN03112832
GCA_005938625.1	ASM593862v1	Pseudomonas fluorescens		HKI0874					PRJNA544448	SAMN11840292
GCF_005938625.1	ASM593862v1	Pseudomonas fluorescens		HKI0874					PRJNA544448	SAMN11840292
GCA_000967955.1	ASM96795v1	Pseudomonas fluorescens		C3					PRJNA276802	SAMN03381143
GCF_000967955.1	ASM96795v1	Pseudomonas fluorescens		C3					PRJNA276802	SAMN03381143
GCA_019891465.1	ASM1989146v1	Pseudomonas fluorescens		DSS73					PRJNA705655	SAMN18094173
GCF_019891465.1	ASM1989146v1	Pseudomonas fluorescens		DSS73					PRJNA705655	SAMN18094173
GCA_002022275.1	ASM202227v1	Pseudomonas fluorescens		P5A					PRJNA339171	SAMN05589717
GCF_002022275.1	ASM202227v1	Pseudomonas fluorescens		P5A					PRJNA339171	SAMN05589717
GCA_014839385.1	ASM1483938v1	Pseudomonas fluorescens		CFBP13716					PRJNA665156	SAMN16237140
GCF_014839385.1	ASM1483938v1	Pseudomonas fluorescens		CFBP13716					PRJNA665156	SAMN16237140
GCA_002319065.1	ASM231906v1	Pseudomonas fluorescens		ITEM 17298					PRJNA396133	SAMN07421152
GCF_002319065.1	ASM231906v1	Pseudomonas fluorescens		ITEM 17298					PRJNA396133	SAMN07421152
GCA_018614785.1	ASM1861478v1	Pseudomonas fluorescens		ISL-27					PRJNA291433	SAMN18298945
GCF_018614785.1	ASM1861478v1	Pseudomonas fluorescens		ISL-27					PRJNA291433	SAMN18298945
GCA_002407625.1	ASM240762v1	Pseudomonas fluorescens		CH229					PRJNA407797	SAMN07703429
GCF_002407625.1	ASM240762v1	Pseudomonas fluorescens		CH229					PRJNA407797	SAMN07703429
GCA_902497905.1	PS720	Pseudomonas fluorescens					PS720		PRJEB34261	SAMEA5944708
GCF_902497905.1	PS720	Pseudomonas fluorescens					PS720		PRJEB34261	SAMEA5944708
GCA_902497715.1	PS659	Pseudomonas fluorescens					PS659		PRJEB34261	SAMEA5944688
GCF_902497715.1	PS659	Pseudomonas fluorescens					PS659		PRJEB34261	SAMEA5944688
GCA_902497725.1	PS647	Pseudomonas fluorescens					PS647		PRJEB34261	SAMEA5944685
GCF_902497725.1	PS647	Pseudomonas fluorescens					PS647		PRJEB34261	SAMEA5944685
GCA_000967965.1	ASM96796v1	Pseudomonas fluorescens		C8					PRJNA276804	SAMN03381145
GCF_000967965.1	ASM96796v1	Pseudomonas fluorescens		C8					PRJNA276804	SAMN03381145
